Connecting to console on VM mirageIperfClient. Press Ctrl + ']' to quit.
Setting up iperf client on interface 0
I have IP 192.168.8.102, trying to connect to 192.168.8.101 :5001 
Iperf client: Attempting connection. 
ARP: transmitting probe -> 192.168.8.101
ARP: updating 192.168.8.101 -> 4e:da:e3:99:3e:89
Iperf client: Made connection to server. 
Time=0.000878, Delay=0.000000, Op=WND, Kind=UPD, details=[466493109 466487273 466478519 452893865 0 262140 262140 14600 262140 0 466434749] 
Time=0.000883, Delay=0.000003, Op=TX, Kind=SEG, details=[466493109 452893865] 
Time=0.000886, Delay=0.000003, Op=TX, Kind=SEG, details=[466494568 452893865] 
Time=0.000888, Delay=0.000001, Op=TX, Kind=SEG, details=[466496027 452893865] 
Time=0.000891, Delay=0.000002, Op=TX, Kind=SEG, details=[466497486 452893865] 
Time=0.000893, Delay=0.000001, Op=TX, Kind=SEG, details=[466498945 452893865] 
Time=0.000897, Delay=0.000003, Op=TX, Kind=SEG, details=[466500404 452893865] 
Time=0.000900, Delay=0.000002, Op=TX, Kind=SEG, details=[466501863 452893865] 
Time=0.000925, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466493109] 
Time=0.000926, Delay=0.000000, Op=WND, Kind=UPD, details=[466503322 466493109 466487273 452893865 0 262140 262140 16060 262140 0 466434749] 
Time=0.000932, Delay=0.000004, Op=TX, Kind=SEG, details=[466503322 452893865] 
Time=0.000934, Delay=0.000002, Op=TX, Kind=SEG, details=[466504781 452893865] 
Time=0.000936, Delay=0.000002, Op=TX, Kind=SEG, details=[466506240 452893865] 
Time=0.000939, Delay=0.000002, Op=TX, Kind=SEG, details=[466507699 452893865] 
Time=0.000944, Delay=0.000005, Op=TX, Kind=SEG, details=[466509158 452893865] 
Time=0.000949, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466497486] 
Time=0.000950, Delay=0.000000, Op=WND, Kind=UPD, details=[466510617 466497486 466493109 452893865 0 262140 262140 17520 262140 0 466434749] 
Time=0.000954, Delay=0.000003, Op=TX, Kind=SEG, details=[466510617 452893865] 
Time=0.000957, Delay=0.000002, Op=TX, Kind=SEG, details=[466512076 452893865] 
Time=0.000960, Delay=0.000003, Op=TX, Kind=SEG, details=[466513535 452893865] 
Time=0.000962, Delay=0.000001, Op=TX, Kind=SEG, details=[466514994 452893865] 
Time=0.000967, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466503322] 
Time=0.000967, Delay=0.000000, Op=WND, Kind=UPD, details=[466516453 466503322 466497486 452893865 0 262140 262140 18980 262140 0 466434749] 
Time=0.000974, Delay=0.000003, Op=TX, Kind=SEG, details=[466516453 452893865] 
Time=0.000978, Delay=0.000003, Op=TX, Kind=SEG, details=[466517912 452893865] 
Time=0.000980, Delay=0.000002, Op=TX, Kind=SEG, details=[466519371 452893865] 
Time=0.000983, Delay=0.000003, Op=TX, Kind=SEG, details=[466520830 452893865] 
Time=0.000985, Delay=0.000002, Op=TX, Kind=SEG, details=[466522289 452893865] 
Time=0.000990, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466507699] 
Time=0.000991, Delay=0.000000, Op=WND, Kind=UPD, details=[466523748 466507699 466503322 452893865 0 262140 262140 20440 262140 0 466434749] 
