Connecting to console on VM mirageIperfServer. Press Ctrl + ']' to quit.
Server is using interface 0 with IP address 192.168.8.101
Setting up iperf server listening at port 5001 
Done setting up server 
ARP: updating 192.168.8.102 -> a6:38:2d:35:dd:1b
ARP responding to: who-has 192.168.8.101?
Iperf server: Received connection from 192.168.8.102:18048.
Iperf server: t = 71.543270, rate = 1118 KBits/s, totbytes = 10000000, live_words = 492697
Time=0.000640, Delay=0.000000, Op=RX, Kind=SEG, details=[466471224 452893865] 
Time=0.000640, Delay=0.000000, Op=RX, Kind=SEG, details=[466472683 452893865] 
Time=0.000648, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466474142 0 262140 262140 4380 23360 0 452893864] 
Time=0.000648, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466474142 0 262140 262140 4380 23360 0 452893864] 
Time=0.000648, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466474142 0 262140 262140 4380 23360 0 452893864] 
Time=0.000649, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466474142 0 262140 262140 4380 23360 0 452893864] 
Time=0.000649, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466474142 0 262140 262140 4380 23360 0 452893864] 
Time=0.000657, Delay=0.000013, Op=TX, Kind=SEG, details=[452893865 466474142] 
Time=0.000768, Delay=0.000000, Op=RX, Kind=SEG, details=[466474142 452893865] 
Time=0.000769, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466474142 0 262140 262140 4380 23360 0 452893864] 
Time=0.000769, Delay=0.000000, Op=RX, Kind=SEG, details=[466475601 452893865] 
Time=0.000770, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466474142 0 262140 262140 4380 23360 0 452893864] 
Time=0.000770, Delay=0.000000, Op=RX, Kind=SEG, details=[466477060 452893865] 
Time=0.000772, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466478519 0 262140 262140 4380 23360 0 452893864] 
Time=0.000779, Delay=0.000000, Op=RX, Kind=SEG, details=[466478519 452893865] 
Time=0.000780, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466478519 0 262140 262140 4380 23360 0 452893864] 
Time=0.000780, Delay=0.000000, Op=RX, Kind=SEG, details=[466479978 452893865] 
Time=0.000781, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466478519 0 262140 262140 4380 23360 0 452893864] 
Time=0.000781, Delay=0.000000, Op=RX, Kind=SEG, details=[466481437 452893865] 
Time=0.000783, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466482896 0 262140 262140 4380 23360 0 452893864] 
Time=0.000787, Delay=0.000000, Op=RX, Kind=SEG, details=[466482896 452893865] 
Time=0.000787, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466482896 0 262140 262140 4380 23360 0 452893864] 
Time=0.000788, Delay=0.000000, Op=RX, Kind=SEG, details=[466484355 452893865] 
Time=0.000788, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466482896 0 262140 262140 4380 23360 0 452893864] 
Time=0.000789, Delay=0.000016, Op=TX, Kind=SEG, details=[452893865 466482896] 
Time=0.000797, Delay=0.000000, Op=RX, Kind=SEG, details=[466485814 452893865] 
